Common Name,count
Sunda Scops-Owl,23889
Barred Eagle-Owl,8362
Oriental Bay-Owl,7477
Pin-striped Tit-Babbler,6266
Olive-winged Bulbul,5938
Orange-bellied Flowerpecker,4830
Asian Fairy-bluebird,2514
Yellow-vented Bulbul,2379
Crimson Sunbird,1776
Mangrove Whistler,1635
Sunda Frogmouth,1351
Arctic Warbler,1107
Brown-throated Sunbird,1057
Red-crowned Barbet,929
Changeable Hawk-Eagle,811
Common Hill Myna,712
Greater Racket-tailed Drongo,571
Dark-necked Tailorbird,563
Large Frogmouth,534
Banded Woodpecker,454
Brown Boobook,449
Banded Bay Cuckoo,396
Plaintive Cuckoo,298
Black-naped Oriole,295
Blue-winged Leafbird,254
Scarlet-backed Flowerpecker,184
Cream-vented Bulbul,170
Copper-throated Sunbird,167
Ashy Tailorbird,164
Common Tailorbird,161
Cinnamon-headed Green-Pigeon,140
Malaysian Pied-Fantail,130
Long-tailed Parakeet,121
Olive-backed Sunbird,106
Black-capped Kingfisher,104
Asian Emerald Dove,101
Reddish Scops-Owl,86
Blue-throated Bee-eater,86
Black-naped Monarch,84
Asian Glossy Starling,81
Brown Wood-Owl,78
Blue-rumped Parrot,72
Blue-winged Pitta,72
Pacific Swallow,68
Common Flameback,61
Spectacled Bulbul,59
Rock Pigeon,53
Barn Owl,53
Little Spiderhunter,40
Rufous-tailed Tailorbird,39
Fire-breasted Flowerpecker,39
Black Magpie,38
Gray-rumped Treeswift,38
Pink-necked Green-Pigeon,37
Malaysian Rail-babbler,36
Moustached Hawk-Cuckoo,36
Hooded Pitta,32
Stripe-throated Bulbul,29
Eastern Crowned Warbler,29
Red-breasted Parakeet,28
Slender-billed Crow,27
Little Bronze-Cuckoo,26
Brush Cuckoo,26
nocall,26
Snowy-browed Flycatcher,25
Asian Brown Flycatcher,23
Black-backed Dwarf-Kingfisher,20
Shikra,19
Malayan Banded-Pitta,19
Yellow-breasted Flowerpecker,19
Black-crested Bulbul,18
Greater Flameback,18
Eurasian Curlew,18
Red-legged Crake,18
Short-tailed Babbler,15
Savanna Nightjar,14
Scarlet-breasted Flowerpecker,14
Black-crowned Night-Heron,13
White-bellied Woodpecker,13
Crested Serpent-Eagle,13
Maroon-breasted Philentoma,13
Greater Coucal,13
Fluffy-backed Tit-Babbler,12
Golden-bellied Gerygone,12
Ruby-cheeked Sunbird,12
Stork-billed Kingfisher,12
Yellow-browed Warbler,12
Large Wren-Babbler,11
Blue-tailed Bee-eater,10
Great-billed Heron,10
Gray Wagtail,9
Common Iora,8
Chestnut-backed Scimitar-Babbler,8
Rhinoceros Hornbill,8
Gray-headed Woodpecker,7
Red Junglefowl,7
Shiny Whistling-Thrush,7
Golden-headed Cisticola,7
Eurasian Tree Sparrow,7
Slaty-legged Crake,7
Crow-billed Drongo,6
Asian Koel,6
Osprey,6
Green Imperial-Pigeon,6
Rufous-winged Philentoma,6
Common Green-Magpie,6
Lanceolated Warbler,6
Buffy Fish-Owl,6
Bar-winged Flycatcher-shrike,5
Plain Flowerpecker,5
Indochinese Blue Flycatcher,5
Gould's Frogmouth,5
Banded Broadbill,5
Rufous-collared Kingfisher,5
Blue-eared Barbet,5
White-rumped Shama,5
Blue-crowned Hanging-Parrot,5
Great Eared-Nightjar,4
Plain Prinia,4
Eurasian Moorhen,4
Short-toed Coucal,4
Chestnut-winged Babbler,4
Dark-throated Oriole,4
Black-and-yellow Broadbill,4
Ashy Drongo,4
Straw-headed Bulbul,3
Black Bittern,3
Chestnut-crowned Warbler,3
Wallace's Hawk-Eagle,3
Mangrove Pitta,3
White-bellied Sea-Eagle,3
Horsfield's Babbler,3
Oriental Pied-Hornbill,3
Common Kingfisher,3
White-chested Babbler,3
Bronzed Drongo,3
Yellow-bellied Bulbul,3
Bushy-crested Hornbill,2
Gray-headed Canary-Flycatcher,2
Caspian Tern,2
Mountain Scops-Owl,2
Sultan Tit,2
Greater Painted-Snipe,2
Yellow-rumped Flycatcher,2
Whimbrel,2
White-throated Kingfisher,2
Rufous Woodpecker,2
Brown Fulvetta,2
Helmeted Hornbill,2
Common Sandpiper,2
Lesser Yellownape,2
Garnet Pitta,2
Collared Kingfisher,2
Sunda Warbler,1
Pied Imperial-Pigeon,1
Lesser Cuckooshrike,1
Brown Shrike,1
Rufous-chested Flycatcher,1
Orange-breasted Trogon,1
Crimson-winged Woodpecker,1
Rusty-breasted Wren-Babbler,1
Great Slaty Woodpecker,1
Ashy Minivet,1
Swinhoe's White-eye,1
Rufous-crowned Babbler,1
Laced Woodpecker,1
Black Hornbill,1
Fulvous-chested Jungle-Flycatcher,1
Green Sandpiper,1
Large-billed Crow,1
Speckled Piculet,1
Coppersmith Barbet,1
Asian Palm-Swift,1
Blue-eared Kingfisher,1
Black-headed Bulbul,1
Great Argus,1
Oriental Magpie-Robin,1
Little Green-Pigeon,1
Van Hasselt's Sunbird,1
White-nest Swiftlet,1
White-crowned Hornbill,1
Buff-necked Woodpecker,1
Ruddy Kingfisher,1
Sooty-capped Babbler,1
Black-and-white Bulbul,1
Striped Wren-Babbler,1
Black-and-red Broadbill,1
Banded Kingfisher,1
Yellow-eared Spiderhunter,1
Indian Cuckoo,1
Watercock,1
Fire-tufted Barbet,1
