Location,Time,Common Name,count
0m,evening,Sunda Scops-Owl,1540
0m,evening,Oriental Bay-Owl,161
0m,evening,Pacific Swallow,61
0m,evening,Olive-winged Bulbul,25
0m,evening,Asian Emerald Dove,13
0m,evening,Orange-bellied Flowerpecker,13
0m,evening,Barred Eagle-Owl,8
0m,evening,Rock Pigeon,5
0m,evening,Changeable Hawk-Eagle,4
0m,evening,Slender-billed Crow,4
0m,evening,Brown-throated Sunbird,3
0m,evening,Sunda Frogmouth,3
0m,evening,Banded Bay Cuckoo,2
0m,evening,Black Magpie,2
0m,evening,Black-backed Dwarf-Kingfisher,2
0m,evening,Garnet Pitta,2
0m,evening,Great Eared-Nightjar,2
0m,evening,Malaysian Rail-babbler,2
0m,evening,Black-naped Oriole,1
0m,evening,Brown Boobook,1
0m,evening,Buffy Fish-Owl,1
0m,evening,Common Kingfisher,1
0m,evening,Crested Serpent-Eagle,1
0m,evening,Great-billed Heron,1
0m,evening,Greater Coucal,1
0m,evening,Greater Painted-Snipe,1
0m,evening,Rhinoceros Hornbill,1
0m,evening,Stork-billed Kingfisher,1
0m,evening,White-throated Kingfisher,1
0m,evening,Yellow-eared Spiderhunter,1
0m,morning,Oriental Bay-Owl,1626
0m,morning,Sunda Scops-Owl,1522
0m,morning,Orange-bellied Flowerpecker,262
0m,morning,Olive-winged Bulbul,257
0m,morning,Crimson Sunbird,185
0m,morning,Brown-throated Sunbird,36
0m,morning,Pin-striped Tit-Babbler,26
0m,morning,Yellow-vented Bulbul,26
0m,morning,Dark-necked Tailorbird,22
0m,morning,Common Tailorbird,21
0m,morning,Greater Racket-tailed Drongo,18
0m,morning,Black Magpie,15
0m,morning,Scarlet-backed Flowerpecker,13
0m,morning,Olive-backed Sunbird,9
0m,morning,Arctic Warbler,8
0m,morning,Asian Glossy Starling,5
0m,morning,Barn Owl,5
0m,morning,Barred Eagle-Owl,4
0m,morning,Black-crested Bulbul,4
0m,morning,Black-naped Monarch,4
0m,morning,Sunda Frogmouth,4
0m,morning,Bar-winged Flycatcher-shrike,3
0m,morning,Cinnamon-headed Green-Pigeon,3
0m,morning,Rhinoceros Hornbill,3
0m,morning,Stripe-throated Bulbul,3
0m,morning,Asian Brown Flycatcher,2
0m,morning,Asian Emerald Dove,2
0m,morning,Buffy Fish-Owl,2
0m,morning,Little Spiderhunter,2
0m,morning,Pacific Swallow,2
0m,morning,Plain Prinia,2
0m,morning,Ashy Tailorbird,1
0m,morning,Banded Bay Cuckoo,1
0m,morning,Brown Boobook,1
0m,morning,Caspian Tern,1
0m,morning,Changeable Hawk-Eagle,1
0m,morning,Common Kingfisher,1
0m,morning,Common Sandpiper,1
0m,morning,Fire-breasted Flowerpecker,1
0m,morning,Fulvous-chested Jungle-Flycatcher,1
0m,morning,Great Eared-Nightjar,1
0m,morning,Green Sandpiper,1
0m,morning,Malaysian Pied-Fantail,1
0m,morning,Red Junglefowl,1
0m,morning,Rock Pigeon,1
0m,morning,Ruby-cheeked Sunbird,1
0m,morning,Rufous-tailed Tailorbird,1
0m,morning,Spectacled Bulbul,1
0m,morning,Stork-billed Kingfisher,1
0m,morning,Straw-headed Bulbul,1
0m,morning,Yellow-browed Warbler,1
100m,evening,Arctic Warbler,146
100m,evening,Sunda Scops-Owl,49
100m,evening,Changeable Hawk-Eagle,48
100m,evening,Brown-throated Sunbird,36
100m,evening,Brown Boobook,35
100m,evening,Olive-backed Sunbird,28
100m,evening,Barred Eagle-Owl,10
100m,evening,Black-capped Kingfisher,7
100m,evening,Crested Serpent-Eagle,7
100m,evening,Black-backed Dwarf-Kingfisher,4
100m,evening,Eurasian Curlew,4
100m,evening,Oriental Bay-Owl,4
100m,evening,Slaty-legged Crake,4
100m,evening,nocall,4
100m,evening,Asian Emerald Dove,3
100m,evening,Crimson Sunbird,3
100m,evening,Orange-bellied Flowerpecker,3
100m,evening,Rock Pigeon,3
100m,evening,Slender-billed Crow,2
