"Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)"
"1	Spectrogram 1	1	0.0	3.0	0	12000.0	Sunda Frogmouth	sunfro1	0.5438	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	0.0"
"2	Spectrogram 1	1	3.0	6.0	0	12000.0	Collared Scops-Owl	cosowl1	0.3291	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	3.0"
"3	Spectrogram 1	1	3.0	6.0	0	12000.0	Sunda Scops-Owl	susowl2	0.2740	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	3.0"
"4	Spectrogram 1	1	6.0	9.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.6509	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	6.0"
"5	Spectrogram 1	1	6.0	9.0	0	12000.0	Sunda Frogmouth	sunfro1	0.5454	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	6.0"
"6	Spectrogram 1	1	6.0	9.0	0	12000.0	Sunda Scops-Owl	susowl2	0.5178	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	6.0"
"7	Spectrogram 1	1	9.0	12.0	0	12000.0	Sunda Frogmouth	sunfro1	0.3240	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	9.0"
"8	Spectrogram 1	1	12.0	15.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.2900	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	12.0"
"9	Spectrogram 1	1	15.0	18.0	0	12000.0	Collared Scops-Owl	cosowl1	0.3731	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	15.0"
"10	Spectrogram 1	1	15.0	18.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.3597	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	15.0"
"11	Spectrogram 1	1	18.0	21.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.4192	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	18.0"
"12	Spectrogram 1	1	33.0	36.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.3980	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	33.0"
"13	Spectrogram 1	1	36.0	39.0	0	12000.0	Collared Scops-Owl	cosowl1	0.4587	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	36.0"
"14	Spectrogram 1	1	36.0	39.0	0	12000.0	Sunda Scops-Owl	susowl2	0.2706	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	36.0"
"15	Spectrogram 1	1	39.0	42.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.3028	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	39.0"
"16	Spectrogram 1	1	39.0	42.0	0	12000.0	Sunda Frogmouth	sunfro1	0.2708	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	39.0"
"17	Spectrogram 1	1	45.0	48.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.2997	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	45.0"
"18	Spectrogram 1	1	48.0	51.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.3458	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	48.0"
"19	Spectrogram 1	1	51.0	54.0	0	12000.0	Sunda Scops-Owl	susowl2	0.3840	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	51.0"
"20	Spectrogram 1	1	69.0	72.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.2533	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	69.0"
"21	Spectrogram 1	1	72.0	75.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.3266	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	72.0"
"22	Spectrogram 1	1	75.0	78.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.2600	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	75.0"
"23	Spectrogram 1	1	81.0	84.0	0	12000.0	Collared Scops-Owl	cosowl1	0.3536	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	81.0"
"24	Spectrogram 1	1	84.0	87.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.4677	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	84.0"
"25	Spectrogram 1	1	87.0	90.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.3703	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	87.0"
"26	Spectrogram 1	1	87.0	90.0	0	12000.0	White-fronted Scops-Owl	wfsowl2	0.2618	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	87.0"
"27	Spectrogram 1	1	90.0	93.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.4243	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	90.0"
"28	Spectrogram 1	1	93.0	96.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.3175	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	93.0"
"29	Spectrogram 1	1	93.0	96.0	0	12000.0	Sunda Frogmouth	sunfro1	0.3057	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	93.0"
"30	Spectrogram 1	1	96.0	99.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.5082	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	96.0"
"31	Spectrogram 1	1	99.0	102.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.3397	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	99.0"
"32	Spectrogram 1	1	102.0	105.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.3607	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	102.0"
"33	Spectrogram 1	1	105.0	108.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.5882	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	105.0"
"34	Spectrogram 1	1	105.0	108.0	0	12000.0	Sunda Scops-Owl	susowl2	0.3061	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	105.0"
"35	Spectrogram 1	1	108.0	111.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.3112	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	108.0"
"36	Spectrogram 1	1	114.0	117.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.4820	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	114.0"
"37	Spectrogram 1	1	117.0	120.0	0	12000.0	Luzon Boobook	phihao1	0.2581	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	117.0"
"38	Spectrogram 1	1	120.0	123.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.3614	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	120.0"
"39	Spectrogram 1	1	123.0	126.0	0	12000.0	Barred Eagle-Owl	baeowl1	0.3699	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	123.0"
"40	Spectrogram 1	1	123.0	126.0	0	12000.0	Sunda Scops-Owl	susowl2	0.2538	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	123.0"
"41	Spectrogram 1	1	126.0	129.0	0	12000.0	Collared Scops-Owl	cosowl1	0.3997	/Users/jonahgoh/Library/CloudStorage/OneDrive-NationalUniversityofSingapore/Morning_evening audio/Sorted_Audio/625m_12feb_morning/2MA05583_20250212_064702.wav	126.0"
