location,rainfall_mm,flood_risk
Ang Mo Kio,35.91,0.012
Ang Mo Kio,22.42,0.0031
Ang Mo Kio,20.73,0.0027
Ang Mo Kio,20.73,0.0027
Ang Mo Kio,69.75,0.264
Ang Mo Kio,43,0.0241
Ang Mo Kio,16.97,0.0018
Ang Mo Kio,37.05,0.0134
Ang Mo Kio,29.98,0.0067
Ang Mo Kio,3.24,0.0005
Ang Mo Kio,10.07,0.0009
Ang Mo Kio,31.59,0.0078
Ang Mo Kio,65.48,0.1897
Ang Mo Kio,20.88,0.0027
Ang Mo Kio,15.87,0.0016
Ang Mo Kio,27.21,0.0051
Ang Mo Kio,15.08,0.0015
Ang Mo Kio,19.77,0.0024
Ang Mo Kio,24.74,0.004
Ang Mo Kio,9.6,0.0009
Ang Mo Kio,44.55,0.0281
Ang Mo Kio,8.03,0.0007
Ang Mo Kio,7.09,0.0007
Ang Mo Kio,29.01,0.0061
Ang Mo Kio,42.2,0.0223
Ang Mo Kio,28.47,0.0057
Ang Mo Kio,22.83,0.0033
Ang Mo Kio,19.61,0.0024
Ang Mo Kio,17.1,0.0019
Ang Mo Kio,51.57,0.055
Ang Mo Kio,31.82,0.008
Ang Mo Kio,18.26,0.0021
Ang Mo Kio,14.05,0.0014
Ang Mo Kio,38.81,0.016
Ang Mo Kio,50.75,0.0509
Ang Mo Kio,47.72,0.0381
Ang Mo Kio,12.02,0.0011
Ang Mo Kio,19.48,0.0023
Ang Mo Kio,16.82,0.0018
Ang Mo Kio,21.57,0.0029
Ang Mo Kio,44.27,0.0273
Ang Mo Kio,61.53,0.1363
Ang Mo Kio,32.68,0.0087
Ang Mo Kio,14.47,0.0014
Ang Mo Kio,24.31,0.0038
Ang Mo Kio,69.19,0.2533
Ang Mo Kio,26.72,0.0048
Ang Mo Kio,19.65,0.0024
Ang Mo Kio,20.98,0.0027
Ang Mo Kio,32.57,0.0086
Ang Mo Kio,12.38,0.0012
Ang Mo Kio,16.49,0.0017
Ang Mo Kio,47.25,0.0364
Ang Mo Kio,31.92,0.0081
Ang Mo Kio,26.93,0.0049
Ang Mo Kio,48.84,0.0425
Ang Mo Kio,13.72,0.0013
Ang Mo Kio,19.18,0.0023
Ang Mo Kio,31.18,0.0075
Ang Mo Kio,30.4,0.007
Ang Mo Kio,6.39,0.0006
Ang Mo Kio,17.71,0.002
Ang Mo Kio,22,0.003
Ang Mo Kio,33.67,0.0096
Ang Mo Kio,30.33,0.0069
Ang Mo Kio,23.59,0.0035
Ang Mo Kio,3.21,0.0005
Ang Mo Kio,24.49,0.0039
Ang Mo Kio,26.18,0.0046
Ang Mo Kio,109.47,0.9501
Ang Mo Kio,21.46,0.0029
Ang Mo Kio,31.31,0.0076
Ang Mo Kio,54.3,0.0711
Ang Mo Kio,42.57,0.0231
Ang Mo Kio,63.19,0.157
Ang Mo Kio,6.49,0.0006
Ang Mo Kio,10.31,0.0009
Ang Mo Kio,15.56,0.0016
Ang Mo Kio,5.39,0.0006
Ang Mo Kio,26.35,0.0047
Ang Mo Kio,11.09,0.001
Ang Mo Kio,68.63,0.2428
Ang Mo Kio,12.69,0.0012
Ang Mo Kio,19.27,0.0023
Ang Mo Kio,44.29,0.0274
Ang Mo Kio,7.94,0.0007
Ang Mo Kio,5,0.0006
Ang Mo Kio,28.75,0.0059
Ang Mo Kio,30.38,0.0069
Ang Mo Kio,43.4,0.0251
Queenstown,36.53,0.0128
Queenstown,31.2,0.0075
Queenstown,14.01,0.0014
Queenstown,29.77,0.0065
Queenstown,31.12,0.0075
Queenstown,13.56,0.0013
Queenstown,81.33,0.5332
Queenstown,35.34,0.0114
Queenstown,10.48,0.001
Queenstown,43.55,0.0255
Queenstown,48.68,0.0418
Queenstown,33.88,0.0098
Queenstown,20.54,0.0026
Queenstown,13.06,0.0012
Queenstown,23.54,0.0035
Queenstown,32.21,0.0083
Queenstown,25.25,0.0042
Queenstown,65.03,0.1829
Queenstown,39.18,0.0166
Queenstown,11.8,0.0011
Queenstown,9.47,0.0009
Queenstown,35.56,0.0116
Queenstown,20.92,0.0027
Queenstown,41.53,0.0209
Queenstown,35.33,0.0114
Queenstown,23.62,0.0035
Queenstown,11.93,0.0011
Queenstown,5.64,0.0006
Queenstown,29.38,0.0063
Queenstown,7.8,0.0007
Queenstown,11.49,0.0011
Queenstown,28.1,0.0055
Queenstown,26.14,0.0046
Queenstown,8.76,0.0008
Queenstown,52.38,0.0594
Queenstown,51.46,0.0545
Queenstown,36.36,0.0126
